Anno,città_CORRETTA,Luogo_CORRETTO,Evento
1971,Roma,Beat 72,"Cappelli e beretti, controstoria del brigantaggio meridionale dopo l'Unità"
1971,Roma,Beat 72,La vera storia di Bonnie e Clyde
1971,Roma,Campagnano di Roma,Le statue movibili
1971,Roma,Formez,Improvvisazione per complotto inscenato
1971,Roma,Spaziozero,Il bagno
1971,Roma,Teatro Aleph,Cuore
1971,Roma,Teatro la Fede,Evento-collage n. 1
1971,Venezia,Teatro La Fenice,Intolleranza 1960
1971,Venezia,Teatro La Fenice,testo/soggetto per
1972,Bologna,Teatro La Ribalta,"L'amante di Lady Chatterley. Le smanie, i capricci, le insoddisfazioni dell'aristocrazia agli inizi del secolo"
1972,Bologna,Teatro La Ribalta,Risveglio di primavera [Nanni '72]
1972,Bruxelles,,La conquista del Messico
1972,Firenze,Galleria Schema,La donna stanca incontra il sole
1972,Firenze,Galleria Techne,Morte di Francesco
1972,Firenze,Teatro Rondò di Bacco,La signorina Giulia
1972,L'Aquila,,"Forse un drago nascerà, un esperienza di teatro vagante coi ragazzi di 12 paesi e città dell Abruzzo"
1972,Mira,,Commedia armoniosa del cielo e dell'inferno
1972,Napoli,Teatro Orione,O Zappatore
1972,Roma,Beat 72,le 120 giornate di Sodoma
1972,Roma,Beat 72,Seppellire i morti
1972,Roma,Beat 72,Ubu re
1972,Roma,Teatro Abaco,Il lungo viaggio di Ulisse
1972,Roma,Teatro Aleph,Didonea
1972,Roma,Teatro Club,Terote
1972,Roma,Teatro Lavoro,La commedia divina
1972,Roma,Teatro Tordinona,Ubu re (ovvero la canzone dello scervellamento)
1972,Torino,Teatro Gobetti,Tamburi nella notte
1972,Trieste,Ospedale psichiatrico di Trieste,Marco Cavallo
1973,Bergamo,,L'amor comenza
1973,Bologna,Chiesa di Santa Lucia,Viaggio di Camion nel teatro e dintorni
1973,Firenze,Internazionale Teatri Stabili,King Lacreme Lear Napulitane
1973,Genova,Teatro Duse,Ondine
1973,Milano,Piccola Scala,Klangfaberspiel
1973,Napoli,Teatro Club,Cenerella
1973,Roma,Beat 72,Insulti al pubblico
1973,Roma,Beat 72,L'angelo custode
1973,Roma,Beat 72,Pirandello chi?
1973,Roma,Beat 72,Profezia
1973,Roma,Beat 72,Theatre Piece
1973,Roma,Club Teatro,Sacco
1973,Roma,Spaziouno,Tarzan
1973,Roma,Teatro Abaco,Le tre melarance
1973,Roma,Teatro Aleph,Sinbad
1973,Roma,Teatro dei Meta-Virtuali,Apocalittico week-end a Crome
1973,Roma,Teatro delle Arti,Nostra Signora dei Turchi [Bene '73]
1973,Roma,Teatro la Comunità,Colloquio dei tre viandanti
1973,Roma,Teatro la Comunità,Fando e Lis
1973,Roma,Teatro Lavoro,Pinocchi…a
1973,Roma,Teatro Tordinona,Marat-Sade
1973,Rovereto,Festival delle Musica Contemporanea,Histoire du soldat
1973,Spoleto,Festival de Due Mondi,La commedia di Robin e Marion
1973,Torino,Quartiere Lingotto,Woyzeck [Cecchi '73]
1973,Vicenza,Teatro Olimpico,Il diavolo bianco
1974,Bologna,Fiera del libro,Arriva il signor Gutemberg gigante alla Fiera del libro per ragazzi di Bologna azione
1974,Chieri,Festival Chieri,Amorte dint'o lietto 'e don Felice
1974,Como,Autunno Musicale,Tactus (Opera)
1974,Firenze,Teatro la Pergola,La cena delle beffe
1974,L'Aquila,Teatro Comunale,Il teatrino di Don Cristobal
1974,Milano,Teatro Manzoni,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina
1974,Montepulciano,,Chianto 'e risate e risate 'e chianto
1974,Novi di Modena,,Il Gorilla Quadrumàno
1974,Pescara,Rassegna del teatro off,Candore giallo (con suono di mare): concerto nell'ora d'aria per le ricoverate di un manicomio criminale
1974,Pescara,Rassegna del teatro off,Otello
1974,Positano,Arena di Fornillo,La principessa Brambilla
1974,Roma,Beat 72,La festa
1974,Roma,Meta-Teatro,Salomè abstraction
1974,Roma,Spaziouno,L'uomo di Babilonia
1974,Roma,Spaziouno,Viaggio e morte per acqua oscura
1974,Roma,Spaziozero,Sudd
1974,Roma,Teatro Aleph,Macbeth…per esempio
1974,Roma,Teatro Centrale,Ah l'amarvi cari oggetti
1974,Roma,Teatro Centrale,Due movimenti
1974,Roma,Teatro la Comunità,Allegro Cantabile
1974,Roma,Teatro la Comunità,Mascheropoli
1974,Roma,Teatro la Comunità,Scarrafonata
1974,Roma,Teatro Tordinona,Ah…Charlot!
1974,Roma,Teatro Tordinona,Woyzeck [Mazzoni '74]
1974,Santarcangelo di Romagna,Festival Internazionale del Teatro di Santarcangelo,Nora Nora sei proprio una donna
1974,Santarcangelo di Romagna,Festival Internazionale del Teatro di Santarcangelo,Robinson Crusoe
