Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Matteo De Simone,Dal vivo (azione teatrale),1979,recitato in,8 May 1979,8 May 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Riccardo Ragozzino,Dal vivo (azione teatrale),1979,recitato in,8 May 1979,8 May 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Toni Servillo,Dal vivo (azione teatrale),1979,recitato in,8 May 1979,8 May 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Alessandro Leggiadro,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Eugenio Tascione,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Marina Viro,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Matteo De Simone,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Riccardo Ragozzino,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Renzo Vescovi,"Suite indienne: Konarak, il tempio del sole e dell'amore- Teatro- Danza classico orientale stile Orissi",1979,ha diretto,1979,1979,,Bergamo,Bergamo,0
Toni Servillo,Propaganda,1979,recitato in,1 December 1979,1 December 1979,Spazio Libero,Napoli,"Spazio Libero, Napoli",13
Giuliano Scabia,Adesso vi racconterò,1978,ha diretto,November 1978,November 1978,,Bologna,Bologna,0
Giuliano Scabia,Adesso vi racconterò,1978,testo/soggetto per,November 1978,November 1978,,Bologna,Bologna,0
Giuliano Scabia,C’era una volta la città dei matti (Non ho l’arma che uccide il leone),1977,ha diretto,September 1977,September 1977,,Trieste,Trieste,0
Giuliano Scabia,C’era una volta la città dei matti (Non ho l’arma che uccide il leone),1977,testo/soggetto per,September 1977,September 1977,,Trieste,Trieste,0
Ippolita Avalli,Tea Road. Dagli Appennini alle Ande,1979,recitato in,30 December 1979,30 December 1979,Studio Mario Schifano,Roma,"Studio Mario Schifano, Roma",21
Marzia Mealli,Tea Road. Dagli Appennini alle Ande,1979,recitato in,30 December 1979,30 December 1979,Studio Mario Schifano,Roma,"Studio Mario Schifano, Roma",21
Monica Gazzo,Tea Road. Dagli Appennini alle Ande,1979,recitato in,30 December 1979,30 December 1979,Studio Mario Schifano,Roma,"Studio Mario Schifano, Roma",21
Dario Mazzali,Il ritorno di Oreste,1979,recitato in,April 1979,April 1979,Teatro Abaco,Roma,"Teatro Abaco, Roma",12
Gianni de Feo,Il ritorno di Oreste,1979,recitato in,April 1979,April 1979,Teatro Abaco,Roma,"Teatro Abaco, Roma",12
Nicola Pistoia,Il ritorno di Oreste,1979,recitato in,April 1979,April 1979,Teatro Abaco,Roma,"Teatro Abaco, Roma",12
Pino Misiti,Il ritorno di Oreste,1979,recitato in,April 1979,April 1979,Teatro Abaco,Roma,"Teatro Abaco, Roma",12
Aldo Innocenti,Vestition d'antan,1979,recitato in,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Renzo Vescovi,Albatri,1977,ha diretto,1977,1977,,Lecco,Lecco,0
Giacomo Angiolini,Vestition d'antan,1979,altro tipo di collaborazione,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Giacomo Angiolini,Vestition d'antan,1979,recitato in,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Giacomo Pardini,Vestition d'antan,1979,recitato in,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Maria Teresa Telara,Vestition d'antan,1979,recitato in,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Massimo Bertolaccini,Vestition d'antan,1979,recitato in,April 1979,April 1979,Teatro di via Manzoni,Pontedera,"Teatro di via Manzoni, Pontedera",21
Roberto Bacci,Arme e santo,1977,ha diretto,1977,1977,,Livorno,Livorno,0
Anita Laurenzi,Fantastica visione,1979,recitato in,23 January 1979,23 January 1979,Teatro Flaiano,Roma,"Teatro Flaiano, Roma",14
Patrizia Zappa Mulas,Fantastica visione,1979,recitato in,23 January 1979,23 January 1979,Teatro Flaiano,Roma,"Teatro Flaiano, Roma",14
Carlo Quartucci,Robinson Crusoe,1974,testo/soggetto per,17 July 1974,17 July 1974,Festival Internazionale del Teatro di Santarcangelo,Santarcangelo di Romagna,Festival Internazionale del Teatro di Santarcangelo,51
Salvatore Landolina,Fantastica visione,1979,recitato in,23 January 1979,23 January 1979,Teatro Flaiano,Roma,"Teatro Flaiano, Roma",14
Bruno Collavo,Franco aprendista paliacio,1976,ha curato scene/costumi per,1976,1976,,Bergamo,Bergamo,0
Bruno Collavo,Franco aprendista paliacio,1976,ha curato scene/costumi per,1976,1976,,Bergamo,Bergamo,0
Sergio Reggi,Fantastica visione,1979,recitato in,23 January 1979,23 January 1979,Teatro Flaiano,Roma,"Teatro Flaiano, Roma",14
Fratelli Pasqualino,Erratum Musical,1979,recitato in,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Giuliano Auriemma,Erratum Musical,1979,altro tipo di collaborazione,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Ivana Giordan,Erratum Musical,1979,recitato in,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Marisa Patulli,Erratum Musical,1979,recitato in,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Renzo Vescovi,Franco aprendista paliacio,1976,ha diretto,1976,1976,,Bergamo,Bergamo,0
Pippo Di Marca,Erratum Musical,1979,recitato in,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Stefano Merafante,Erratum Musical,1979,recitato in,28 April 1979,28 April 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Goffredo Bonanni,L'Immacolata concezione,1979,altro tipo di collaborazione,9 February 1979,9 February 1979,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Lucia Vasilicò,L'Immacolata concezione,1979,recitato in,9 February 1979,9 February 1979,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Bruno Collavo,Intermezzo,1975,ha curato scene/costumi per,1975,1975,,Bergamo,Bergamo,0
Bruno Collavo,Intermezzo,1975,ha curato scene/costumi per,1975,1975,,Bergamo,Bergamo,0
Mario Mieli,Krakatoa,1979,recitato in,27 February 1979,27 February 1979,Teatro Out Off,Milano,"Teatro Out Off, Milano",14
Andrea Renzi,Falso movimento live!,1979,recitato in,31 October 1979,31 October 1979,Studio Mamini,Napoli,"Studio Mamini, Napoli",13
Angelo Curti,Falso movimento live!,1979,recitato in,31 October 1979,31 October 1979,Studio Mamini,Napoli,"Studio Mamini, Napoli",13
Federica della Ratta Rinaldi,Falso movimento live!,1979,recitato in,31 October 1979,31 October 1979,Studio Mamini,Napoli,"Studio Mamini, Napoli",13
Mario Martone,Falso movimento live!,1979,recitato in,31 October 1979,31 October 1979,Studio Mamini,Napoli,"Studio Mamini, Napoli",13
Renzo Vescovi,Intermezzo,1975,testo/soggetto per,1975,1975,,Bergamo,Bergamo,0
Serena Mosconi,Intermezzo,1975,ha curato scene/costumi per,1975,1975,,Bergamo,Bergamo,0
Serena Mosconi,Intermezzo,1975,ha curato scene/costumi per,1975,1975,,Bergamo,Bergamo,0
Pasquale Mari,Falso movimento live!,1979,recitato in,31 October 1979,31 October 1979,Studio Mamini,Napoli,"Studio Mamini, Napoli",13
Augusto Melisurgo,Dallas 1983,1979,recitato in,12 September 1979,12 September 1979,"Tagblatt Turm [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",Stoccarda,"Tagblatt Turm, Stoccarda [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",59
Leo De Berardinis,Chianto 'e risate e risate 'e chianto,1974,testo/soggetto per,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Mario Martone,Dallas 1983,1979,recitato in,12 September 1979,12 September 1979,"Tagblatt Turm [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",Stoccarda,"Tagblatt Turm, Stoccarda [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",59
Tomas Arana,Dallas 1983,1979,recitato in,12 September 1979,12 September 1979,"Tagblatt Turm [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",Stoccarda,"Tagblatt Turm, Stoccarda [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",59
Alga Fox,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Federico Tiezzi,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Perla Peragallo,Chianto 'e risate e risate 'e chianto,1974,testo/soggetto per,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Luca Vespa,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Marion D'Amburgo,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Giuliano Scabia,Il Gorilla Quadrumàno,1974,ha diretto,1974,1974,,Novi di Modena,Novi di Modena,0
Giuliano Scabia,Il Gorilla Quadrumàno,1974,testo/soggetto per,1974,1974,,Novi di Modena,Novi di Modena,0
Pierluigi Tazzi,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Sandro Lombardi,Last concert Polaroid,1979,recitato in,26 September 1979,26 September 1979,Teatro di via Sabotino,Roma,"Teatro di via Sabotino, Roma",22
Bruno Collavo,L'amor comenza,1973,ha curato scene/costumi per,1973,1973,,Bergamo,Bergamo,0
Bruno Collavo,L'amor comenza,1973,ha curato scene/costumi per,1973,1973,,Bergamo,Bergamo,0
Giuliano Cordovado,De Bernardis-Peragallo,1979,recitato in,25 May 1979,25 May 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Leo De Berardinis,De Bernardis-Peragallo,1979,recitato in,25 May 1979,25 May 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Perla Peragallo,De Bernardis-Peragallo,1979,recitato in,25 May 1979,25 May 1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Lillo Monachesi,Ominide,1979,altro tipo di collaborazione,1979,1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Michele Guadalupi,L'amor comenza,1973,ha curato musiche/sonoro per,1973,1973,,Bergamo,Bergamo,0
Piero Cegalin,Ominide,1979,altro tipo di collaborazione,1979,1979,Teatro in Trastevere,Roma,"Teatro in Trastevere, Roma",20
Renzo Vescovi,L'amor comenza,1973,ha diretto,1973,1973,,Bergamo,Bergamo,0
Renzo Vescovi,L'amor comenza,1973,testo/soggetto per,1973,1973,,Bergamo,Bergamo,0
Lucia Vasilicò,La riverenza,1979,recitato in,31 novembre 1979,31 novembre 1979,Teatro La Maddalena,Roma,"Teatro La Maddalena, Roma",19
Carmelo Bene,Manfred,1979,recitato in,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Benedetto Simonelli,Quando incontrammo sul Danubio le stelle: Attila,1979,recitato in,29 May 1979,29 May 1979,Teatro Quirino,Roma,"Teatro Quirino, Roma",14
