Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Carmelo Bene,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Giuliano Scabia,"Forse un drago nascerà, un esperienza di teatro vagante coi ragazzi di 12 paesi e città dell Abruzzo",1972,ha diretto,14 April 1972,14 April 1972,,L'Aquila,Abruzzo,0
Giuliano Scabia,"Forse un drago nascerà, un esperienza di teatro vagante coi ragazzi di 12 paesi e città dell Abruzzo",1972,testo/soggetto per,14 April 1972,14 April 1972,,L'Aquila,Abruzzo,0
Carlo Quartucci,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Ernesto de Vito,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Maurizio Navarra,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
René Monti,Aspettando Godot [Quartucci '59],1959,recitato in,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Antonio Meschini,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Salines,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Salines,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Giuseppe Tolla,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Maria Elena Zen,Caligola [Ruggiero '59],1959,recitato in,1 October 1959,1 October 1959,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Antonio Barbieri,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Claudio Remondi,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Giulia Mongiovino,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
E.T.A. Hoffmann,La principessa Brambilla,1974,testo/soggetto per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Piero Lanciani,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Salvatore Salomone,La Moscheta,1959,recitato in,6 June 1959,6 June 1959,Teatro La Tenda,Roma,"Teatro La Tenda, Roma",15
Giancarlo Nanni,La principessa Brambilla,1974,ha curato musiche/sonoro per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Giancarlo Nanni,La principessa Brambilla,1974,ha diretto,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Giovanni Dionisi-Vici,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Carlo Quartucci,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Carlo Quartucci,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Celeste Benedetti,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Coretta Paqualotta,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Lino Lo Pinto,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Lino Lo Pinto,La principessa Brambilla,1974,ha curato scene/costumi per,7 August 1974,7 August 1974,Arena di Fornillo,Positano,"Arena di Fornillo, Positano",17
Ernesto de Vito,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Gina Greco,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Maurizio Navarra,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
René Monti,Noi tutti ce ne andremo,1960,recitato in,March 1960,March 1960,Teatro di Via Gallia,Roma,Teatro di Via Gallia,20
Celeste Benedetti,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Carmelo Bene,Manfred,1979,adattamento del testo per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Carmelo Bene,Manfred,1979,ha diretto,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Coretta Paqualotta,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
G.G. Byron,Manfred,1979,testo/soggetto per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Ernesto de Vito,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Robert Schumann,Manfred,1979,ha curato musiche/sonoro per,6 May 1979,6 May 1979,Auditorium di via della Conciliazione,Roma,"Auditorium di via della Conciliazione, Roma",37
Alessandro Lombardi,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Gina Greco,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Alessandro Lombardi,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Maurizio Navarra,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Federico Tiezzi,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
René Monti,C'era folla al castello,1960,recitato in,1960,1960,Teatro Latino-Metronio,Roma,"Teatro Latino-Metronio, Roma",22
Federico Tiezzi,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Marion D'Amburgo,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Carmelo Bene,Lo stano caso del dottor Jekyll e di Mister Hyde,1961,recitato in,30 May 1961,30 May 1961,La Borsa d'Arlecchino,Genova,"La Borsa d'Arlecchino, Genova",21
Marion D'Amburgo,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Vera Bemoccoli,Tactus (Opera),1974,ha diretto,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Carmelo Bene,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Vera Bemoccoli,Tactus (Opera),1974,testo/soggetto per,27 September 1974,27 September 1974,Autunno Musicale,Como,"Autunno Musicale, Como",16
Giancarlo Nanni,Jean Harlow e Billy the Kid,1979,ha curato musiche/sonoro per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Giancarlo Nanni,Jean Harlow e Billy the Kid,1979,ha diretto,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Carmelo Bene,Tre atti unici,1961,recitato in,May 1961,May 1961,Teatro Duse,Genova,"Teatro Duse, Genova",11
Carlo Quartucci,Le Sedie,1961,recitato in,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Marco Del Re,Jean Harlow e Billy the Kid,1979,ha curato scene/costumi per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Marco Del Re,Jean Harlow e Billy the Kid,1979,ha curato scene/costumi per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Michael McClure,Jean Harlow e Billy the Kid,1979,testo/soggetto per,September 1979,September 1979,Basilica di Massenzio,Roma,"Basilica di Massenzio, Roma",21
Carmelo Bene,Caligola [Bene '61],1961,recitato in,May 1961,May 1961,Teatro Politeama,Genova,"Teatro Politeama, Genova",16
Manlio Nevasti,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Nino Casale,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Paola Faloja,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Rosa Bianca Scerrino,Gregorio: cabaret dell'800,1961,recitato in,20 October 1961,20 October 1961,Ridotto dell'Eliseo,Roma,"Ridotto dell'Eliseo, Roma",19
Claudio Remondi,Le Sedie,1961,recitato in,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Zanida Lodi,Le Sedie,1961,recitato in,13 April 1961,13 April 1961,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Giuliano Vasilicò,Proust,1976,ha diretto,10 December 1976,10 December 1976,Beat 72,Roma,"Beat 72, Roma",7
Giuliano Vasilicò,Proust,1976,testo/soggetto per,10 December 1976,10 December 1976,Beat 72,Roma,"Beat 72, Roma",7
Goffredo Bonanni,Proust,1976,ha curato scene/costumi per,10 December 1976,10 December 1976,Beat 72,Roma,"Beat 72, Roma",7
Goffredo Bonanni,Proust,1976,ha curato scene/costumi per,10 December 1976,10 December 1976,Beat 72,Roma,"Beat 72, Roma",7
Antonio Salines,Caligola [Bene '61],1961,recitato in,May 1961,May 1961,Teatro Politeama,Genova,"Teatro Politeama, Genova",16
Flavia Millanta,Caligola [Bene '61],1961,recitato in,May 1961,May 1961,Teatro Politeama,Genova,"Teatro Politeama, Genova",16
Mario Ricci,Movimento n.1 per marionetta sola,1962,altro tipo di collaborazione,31 December 1962,31 December 1962,Casa di Nello Ponente,Roma,"Casa di Nello Ponente, Roma",21
Nato Frasca,Movimento n.1 per marionetta sola,1962,recitato in,31 December 1962,31 December 1962,Casa di Nello Ponente,Roma,"Casa di Nello Ponente, Roma",21
Pasquale Santoro,Movimento n.1 per marionetta sola,1962,altro tipo di collaborazione,31 December 1962,31 December 1962,Casa di Nello Ponente,Roma,"Casa di Nello Ponente, Roma",21
Carmelo Bene,Capricci,1962,recitato in,28 July 1962,28 July 1962,Teatro Laboratorio,Roma,Teatro Laboratorio,18
Carlo Quartucci,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Carmelo Bene,Addio Porco,1962,recitato in,7 December 1962,7 December 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Carmelo Bene,Pinocchio,1962,recitato in,5 June 1962,5 June 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Franco Zambelli,La vera storia di Bonnie e Clyde,1971,ha curato scene/costumi per,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Carmelo Bene,Spettacolo concerto Majakovskij [Bene novembre '62],1962,recitato in,9 November 1962,9 November 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Giancarlo Sepe,La vera storia di Bonnie e Clyde,1971,ha diretto,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Carmelo Bene,Amleto [Bene '62],1962,recitato in,20 October 1962,20 October 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Anna D'Offizzi,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Leo De Berardinis,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Maurizio Navarra,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Pier Luigi Zolto,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Nanni Giordano,La vera storia di Bonnie e Clyde,1971,ha curato musiche/sonoro per,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Nelson Agren,La vera storia di Bonnie e Clyde,1971,testo/soggetto per,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Rino Sudano,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Paola Latrofa,La vera storia di Bonnie e Clyde,1971,ha curato scene/costumi per,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Sabina de Guida,Me e me,1962,recitato in,13 October 1962,13 October 1962,Teatro Goldoni,Roma,"Teatro Goldoni, Roma",14
Stefano Marcucci,La vera storia di Bonnie e Clyde,1971,ha curato musiche/sonoro per,28 December 1971,28 December 1971,Beat 72,Roma,"Beat 72, Roma",7
Luigi Mezzanotte,Addio Porco,1962,recitato in,7 December 1962,7 December 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Agostino Raff,Amleto [Vasilicò '71],1971,ha curato musiche/sonoro per,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Agostino Raff,Amleto [Vasilicò '71],1971,ha curato scene/costumi per,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Agostino Raff,Amleto [Vasilicò '71],1971,ha curato scene/costumi per,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Rosa Bianca Scerrino,Addio Porco,1962,recitato in,7 December 1962,7 December 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Giuliano Vasilicò,Amleto [Vasilicò '71],1971,adattamento del testo per,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Giuliano Vasilicò,Amleto [Vasilicò '71],1971,ha diretto,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Gino Lavagnetto,Pinocchio,1962,recitato in,5 June 1962,5 June 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Rosa Bianca Scerrino,Pinocchio,1962,recitato in,5 June 1962,5 June 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Corrado Sonni,Amleto [Bene '62],1962,recitato in,20 October 1962,20 October 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
William Shakespeare,Amleto [Vasilicò '71],1971,testo/soggetto per,30 July 1971,30 July 1971,Beat 72,Roma,"Beat 72, Roma",7
Andrea Bianchi,"Cappelli e beretti, controstoria del brigantaggio meridionale dopo l'Unità",1971,ha curato scene/costumi per,5 September 1971,5 September 1971,Beat 72,Roma,"Beat 72, Roma",7
Luigi Mezzanotte,Amleto [Bene '62],1962,recitato in,20 October 1962,20 October 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Rosa Bianca Scerrino,Amleto [Bene '62],1962,recitato in,20 October 1962,20 October 1962,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Carlo Quartucci,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Gianfranco Mazzoni,"Cappelli e beretti, controstoria del brigantaggio meridionale dopo l'Unità",1971,ha diretto,5 September 1971,5 September 1971,Beat 72,Roma,"Beat 72, Roma",7
Giacomo Ricci,Edoardo II,1963,recitato in,31 May 1963,31 May 1963,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Helen Cameron,Edoardo II,1963,recitato in,31 May 1963,31 May 1963,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Luigi Mezzanotte,Edoardo II,1963,recitato in,31 May 1963,31 May 1963,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Ugo Sterpini,"Cappelli e beretti, controstoria del brigantaggio meridionale dopo l'Unità",1971,ha curato scene/costumi per,5 September 1971,5 September 1971,Beat 72,Roma,"Beat 72, Roma",7
Michele Francio,Edoardo II,1963,recitato in,31 May 1963,31 May 1963,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Anna D'Offizzi,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Carlo Quartucci,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Giuliano Vasilicò,L'occupazione,1970,ha diretto,22 April 1970,22 April 1970,Beat 72,Roma,"Beat 72, Roma",7
Cosimo Cinieri,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Giuliano Vasilicò,L'occupazione,1970,testo/soggetto per,22 April 1970,22 April 1970,Beat 72,Roma,"Beat 72, Roma",7
Leo de Berardinis,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Rino Sudano,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Borges,I teologi,1970,testo/soggetto per,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Ettora D'Ettorre,I teologi,1970,ha curato scene/costumi per,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Ettora D'Ettorre,I teologi,1970,ha diretto,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Giorgio Marini,I teologi,1970,adattamento del testo per,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Giorgio Marini,I teologi,1970,ha diretto,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Sabina de Guida,Finale di partita [Quartucci '63],1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Anna D'Offizzi,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Cosimo Cinieri,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Leo De Berardinis,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Roberto Palazzi,I teologi,1970,ha curato scene/costumi per,20 February 1970,20 February 1970,Beat 72,Roma,"Beat 72, Roma",7
Rino Sudano,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Sabina de Guida,Una gru al tramonto,1963,recitato in,4 February 1963,4 February 1963,Teatro Ateneo,Roma,"Teatro Ateneo, Roma",13
Carmelo Bene,Edoardo II,1963,recitato in,31 May 1963,31 May 1963,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Bertolt Brecht,Bertolt Brecht: gli anni della lotta,1970,testo/soggetto per,14 May 1970,14 May 1970,Beat 72,Roma,"Beat 72, Roma",7
Gianfranco Mazzoni,Bertolt Brecht: gli anni della lotta,1970,ha diretto,14 May 1970,14 May 1970,Beat 72,Roma,"Beat 72, Roma",7
Carmelo Bene,I Polacchi (Ubu Roi),1963,recitato in,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Alfiero Vincenti,I Polacchi (Ubu Roi),1963,recitato in,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Carmelo Bene,Cristo 63,1963,recitato in,4 January 1963,4 January 1963,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Edoardo Torricella,I Polacchi (Ubu Roi),1963,recitato in,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Luigi Mezzanotte,I Polacchi (Ubu Roi),1963,recitato in,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Alberto Greco,Cristo 63,1963,recitato in,4 January 1963,4 January 1963,Teatro Laboratorio S. Cosimato,Roma,"Teatro Laboratorio S. Cosimato, Roma",30
Giorgio Marini,Happening in onore di Angela Davis,1970,ha diretto,21 November 1970,21 November 1970,Beat 72,Roma,"Beat 72, Roma",7
LeRoi Jones,Happening in onore di Angela Davis,1970,adattamento del testo per,21 November 1970,21 November 1970,Beat 72,Roma,"Beat 72, Roma",7
LeRoi Jones,Happening in onore di Angela Davis,1970,adattamento del testo per,21 November 1970,21 November 1970,Beat 72,Roma,"Beat 72, Roma",7
Pasquale Santoro,Spettacolo di 3 pezzi,1964,altro tipo di collaborazione,January 1964,January 1964,Galleria Arco d'Alibert,Roma,"Galleria Arco d'Alibert, Roma",23
Remo Remotti,Spettacolo di 3 pezzi,1964,altro tipo di collaborazione,January 1964,January 1964,Galleria Arco d'Alibert,Roma,"Galleria Arco d'Alibert, Roma",23
Roberto Palazzi,Happening in onore di Angela Davis,1970,ha curato scene/costumi per,21 November 1970,21 November 1970,Beat 72,Roma,"Beat 72, Roma",7
Carmelo Bene,La storia di Sawney Bean,1964,recitato in,6 October 1964,6 October 1964,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Luigi Mezzanotte,La storia di Sawney Bean,1964,recitato in,6 October 1964,6 October 1964,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Carmelo Bene,Nostra Signora dei Turchi [Bene '66],1966,ha diretto,1 December 1966,1 December 1966,Beat 72,Roma,"Beat 72, Roma",7
Lydia Mancinelli,La storia di Sawney Bean,1964,recitato in,6 October 1964,6 October 1964,Teatro delle Arti,Roma,"Teatro delle Arti, Roma",17
Carmelo Bene,Nostra Signora dei Turchi [Bene '66],1966,testo/soggetto per,1 December 1966,1 December 1966,Beat 72,Roma,"Beat 72, Roma",7
Carmelo Bene,Salomè [Bene '64],1964,recitato in,2 March 1964,2 March 1964,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Alfiero Vincenti,Salomè [Bene '64],1964,recitato in,2 March 1964,2 March 1964,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Bruno Mattioli,Sudcombinatorium e Rito Money,1966,ha curato musiche/sonoro per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Franco Citti,Salomè [Bene '64],1964,recitato in,2 March 1964,2 March 1964,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Corrado Frateantonio,Sudcombinatorium e Rito Money,1966,ha curato scene/costumi per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Domenico Guaccero,Sudcombinatorium e Rito Money,1966,ha curato musiche/sonoro per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Rosa Bianca Scerrino,Salomè [Bene '64],1964,recitato in,2 March 1964,2 March 1964,Teatro delle Muse,Roma,"Teatro delle Muse, Roma",17
Gian Carlo Celli,Sudcombinatorium e Rito Money,1966,ha diretto,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Claudio Remondi,Aspettando Godot [Quartucci '64],1964,recitato in,31 March 1964,31 March 1964,Teatro Duse,Genova,"Teatro Duse, Genova",11
Gian Carlo Celli,Sudcombinatorium e Rito Money,1966,testo/soggetto per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Giovanni Pisciotta,Sudcombinatorium e Rito Money,1966,ha curato musiche/sonoro per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Leo De Berardinis,Aspettando Godot [Quartucci '64],1964,recitato in,31 March 1964,31 March 1964,Teatro Duse,Genova,"Teatro Duse, Genova",11
Maria Grazia Grassini,Aspettando Godot [Quartucci '64],1964,recitato in,31 March 1964,31 March 1964,Teatro Duse,Genova,"Teatro Duse, Genova",11
Robert Gioseffi,Sudcombinatorium e Rito Money,1966,ha curato musiche/sonoro per,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Adriano Vecchiotti,La macchina del tempo,1979,ha curato scene/costumi per,March 1979,March 1979,Beat 72,Roma,"Beat 72, Roma",7
Mario Rodriguez,Aspettando Godot [Quartucci '64],1964,recitato in,31 March 1964,31 March 1964,Teatro Duse,Genova,"Teatro Duse, Genova",11
Rino Sudano,Aspettando Godot [Quartucci '64],1964,recitato in,31 March 1964,31 March 1964,Teatro Duse,Genova,"Teatro Duse, Genova",11
Paolo Bologna,La macchina del tempo,1979,ha curato scene/costumi per,March 1979,March 1979,Beat 72,Roma,"Beat 72, Roma",7
Benedetto Simonelli,L’Occhio della Mente: itinerario di memoria con tensioni bianco-rosso,1979,ha diretto,9 May 1979,9 May 1979,Beat 72,Roma,"Beat 72, Roma",7
Anna D'Offizzi,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Benedetto Simonelli,L’Occhio della Mente: itinerario di memoria con tensioni bianco-rosso,1979,testo/soggetto per,9 May 1979,9 May 1979,Beat 72,Roma,"Beat 72, Roma",7
Claudio Remondi,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Cosimo Cinieri,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Edoardo Torricella,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Giampiero Fortebraccio,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Ennio Fantastichini,Blu oltremare (nuova versione),1978,ha curato musiche/sonoro per,June 1978,June 1978,Beat 72,Roma,"Beat 72, Roma",7
Leo De Berardinis,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Luigi Castejon,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
